user_guid,search_query,store_id,product_ids
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Tout pour fêter Pâques,0414,"['10000221485', '10000226458', '10000218682', '10000173623', '10000250241', '10000218684', '10000195896', '10000257665', '10000422642', '10000199640', '10000247645', '10000255509', '10000249640', '10000513190', '10000177366', '10000188690', '10000177364', '10000203465', '10000229159', '10000218683', '10000533490', '10000530586', '10000522208', '10000224936', '10000271920', '10000228103', '10000171436', '10000154572', '10000238357', '10000171443', '10000206001', '10000457059', '10000152800', '10000261864', '10000118825', '10000264646', '10000161559', '10000193249', '10000202902', '10000060072', '10000160544', '10000207859']"
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Coussins d'extérieur,0414,"['10000196306', '10000254660', '10000215775', '10000257736', '10000410634', '10000254642', '10000208632', '10000268182', '10000171443', '10000216175', '10000256805', '10000349301', '10000259290', '10000259798', '10000215955', '10000254662', '10000238808', '10000254737', '10000561142', '10000031820', '10000557637', '10000154136', '10000190541', '10000208627', '10000561140', '10000417153', '10000561143', '10000249239', '10000553538', '10000244777', '10000523988', '10000457493', '10000561138', '10000270175', '10000561141', '10000534718', '10000510467', '10000534702', '10000540048', '10000231985', '10000223186', '10000171036']"
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Accessoires de piscine,0414,"['10000209149', '10000247645', '10000441925', '10000271126', '10000257311', '10000267368', '10000261864', '10000118825', '10000257684', '10000179406', '10000179412', '10000179411', '10000511228', '10000223985', '10000126361', '10000558175', '10000454745', '10000246711', '10000523339', '10000454685', '10000223989', '10000097373', '10000523338', '10000211041', '10000201925', '10000256801', '10000261533', '10000231985', '10000201848', '10000231159', '10000231984', '10000454564', '10000231172', '10000135164', '10000201837', '10000231121', '10000502523', '10000502522', '10000211608', '10000083492', '10000217796', '10000209285']"
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Toile à peindre,0414,"['10000210213', '10000548579', '10000243029', '10000275332', '10000550836', '10000247417', '10000444488', '10000152800', '10000249565', '10000131112', '10000105977', '10000542724', '10000249567', '10000080074', '10000105984', '10000453264', '10000105979', '10000274750', '10000105975', '10000453064', '10000453260', '10000131106', '10000453262', '10000453213', '10000453250', '10000453254', '10000080073', '10000105981', '10000080075', '10000080070', '10000453265', '10000453242', '10000105986', '10000131104', '10000334870', '10000080071', '10000105985', '10000525523', '10000261273', '10000515043', '10000420195', '10000506135']"
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Déguisement Halloween adulte,0414,"['10000217230', '10000257665', '10000217229', '10000167244', '10000217238', '10000442700', '10000176458', '10000228103', '10000444216', '10000398510', '10000243287', '10000241951', '10000506569', '10000176461', '10000518887', '10000398560', '10000518886', '10000221280', '10000050771', '10000221037', '10000398638', '10000221259', '10000175289', '10000515585', '10000230377', '10000252914', '10000398437', '10000232371', '10000454532', '10000213924', '10000454533', '10000213962', '10000536637', '10000243168', '10000518684', '10000185328', '10000253354', '10000264116', '10000232373', '10000398448', '10000398451', '10000514653']"
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Fleurs de deuil Rose Tendrement,0414,"['10000330588', '10000169801', '10000261130', '10000409022', '10000454544', '10000435783', '10000249697', '10000247301', '10000400417', '10000247300', '10000264346', '10000274169', '10000383080', '10000454817', '10000447169', '10000274170', '10000534712', '10000201545', '10000517551', '10000555082', '10000550674', '10000257771', '10000533657', '10000123935', '10000230814', '10000263402', '10000550849', '10000459083', '10000530626', '10000271391', '10000274167', '10000243366', '10000274168', '10000303699', '10000555261', '10000517552', '10000517553', '10000244125', '10000247302', '10000444767', '10000263646', '10000458749']"
fb11d73d0a77bc1627b0085a2a99a34ccedc9d921162f098f0406f2b4f45b271,Housses de coussins,0414,"['10000196306', '10000254660', '10000215775', '10000257736', '10000254642', '10000268182', '10000216175', '10000259798', '10000256805', '10000259290', '10000254662', '10000557412', '10000238808', '10000254737', '10000557368', '10000227941', '10000166938', '10000226567', '10000158005', '10000247246', '10000261185', '10000226568', '10000226566', '10000261182', '10000510124', '10000244777', '10000227928', '10000158006', '10000158007', '10000544957', '10000227942', '10000261186', '10000510151', '10000227927', '10000227921', '10000227933', '10000261183', '10000510150', '10000508749', '10000261187', '10000261184', '10000177826']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Soin et hygiène du chien,0414,"['10000170676', '10000249750', '10000184709', '10000259687', '10000253832', '10000173615', '10000330674', '10000218682', '10000422825', '10000180739', '10000218684', '10000422642', '10000457019', '10000251680', '10000422787', '10000260077', '10000249679', '10000400497', '10000218683', '10000203465', '10000256799', '10000260076', '10000256270', '10000415208', '10000273703', '10000269636', '10000259857', '10000273702', '10000522208', '10000533490', '10000248363', '10000417155', '10000260078', '10000183860', '10000273704', '10000255955', '10000256271', '10000256272', '10000253897', '10000225131', '10000261864', '10000251492']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Accessoires pour poissons et aquarium,0414,"['10000170676', '10000226458', '10000221485', '10000249750', '10000184709', '10000250241', '10000173623', '10000173615', '10000330674', '10000513190', '10000218682', '10000180739', '10000218684', '10000257665', '10000195896', '10000422642', '10000255509', '10000249640', '10000251680', '10000188690', '10000260077', '10000249679', '10000247645', '10000257311', '10000218683', '10000203465', '10000256799', '10000260076', '10000256270', '10000415208', '10000269636', '10000259857', '10000533490', '10000260078', '10000255955', '10000256271', '10000256272', '10000228103', '10000261864', '10000251492', '10000271920', '10000161559']"
feac1f500dd5178a02e7f46b69e173369a18f03ccf9f47b304faa2ae9dbe45d5,Parfum d'intérieur,0414,"['10000410634', '10000160385', '10000544647', '10000208632', '10000533657', '10000171443', '10000349301', '10000215955', '10000251626', '10000208627', '10000202901', '10000561140', '10000557637', '10000031820', '10000520946', '10000198377', '10000190541', '10000555085', '10000555082', '10000417153', '10000561143', '10000202902', '10000250203', '10000420512', '10000427424', '10000226450', '10000555084', '10000555259', '10000555263', '10000231369', '10000245466', '10000555261', '10000555262', '10000555083', '10000270175', '10000553538', '10000532183', '10000402423', '10000457493', '10000250201', '10000523988', '10000561138']"
